"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"av:Track:2                          av:handler_type:2                   Value:Audio Track","Value","Audio Track","","","Audio track (soun)"
"av:Track:2                          av:handler_type:2                   Value:Camera Metadata","Value","Camera Metadata","","","Camera Motion Metadata Spec (camm)"
"av:Track:2                          av:handler_type:2                   Value:Clock Reference","Value","Clock Reference","","","Clock reference (crsm)"
"av:Track:2                          av:handler_type:2                   Value:Data","Value","Data","","","Component that identifies and manages raw data for specific media types (data)"
"av:Track:2                          av:handler_type:2                   Value:Hint Track","Value","Hint Track","","","Hint track used for streaming instructions over a network (hint)"
"av:Track:2                          av:handler_type:2                   Value:IPMP","Value","IPMP","","","Intellectual Property Management and Protection (ipsm)"
"av:Track:2                          av:handler_type:2                   Value:MPEG-7 Stream","Value","MPEG-7 Stream","","","MPEG-7 textual metadata stream (m7sm)"
"av:Track:2                          av:handler_type:2                   Value:MPEG-J","Value","MPEG-J","","","Motion JPEG 2000 System handler (mjsm)"
"av:Track:2                          av:handler_type:2                   Value:Metadata","Value","Metadata","","","Portable Sample Metatdata (psmd)"
"av:Track:2                          av:handler_type:2                   Value:Metadata Tags","Value","Metadata Tags","","","Metadata stored using a structured key-value pair format (mdta)"
"av:Track:2                          av:handler_type:2                   Value:NRT Metadata","Value","NRT Metadata","","","Timed metadata track (e.g. GPS, camera sensors, or telemetry) (meta)"
"av:Track:2                          av:handler_type:2                   Value:Object Content","Value","Object Content","","","Object Content Info Stream (ocsm)"
"av:Track:2                          av:handler_type:2                   Value:Object Descriptor","Value","Object Descriptor","","","Object Descriptor Stream, deticated to MPEG-4 Systems metadata (odsm)"
"av:Track:2                          av:handler_type:2                   Value:Picture","Value","Picture","","","Still image data (pict)"
"av:Track:2                          av:handler_type:2                   Value:Private","Value","Private","","","Track containing proprietary or custom data (priv)"
"av:Track:2                          av:handler_type:2                   Value:Scene Description","Value","Scene Description","","","Specialized track defining scene structure, often used for interactive, timed, or animated metadata (sdsm)"
"av:Track:2                          av:handler_type:2                   Value:Subpicture","Value","Subpicture","","","Image-based subtitles (subp)"
"av:Track:2                          av:handler_type:2                   Value:Subtitle","Value","Subtitle","","","Track containing timed text or binary subtitle data (sbtl)"
"av:Track:2                          av:handler_type:2                   Value:Text","Value","Text","","","Text track containing subtitles, closed captions, etc (older format, often replaced by subt) (text)"
"av:Track:2                          av:handler_type:2                   Value:Time Code","Value","Time Code","","","Time code track (SMPTE, etc) (tmcd)"
"av:Track:2                          av:handler_type:2                   Value:URL","Value","URL","","","Media data referenced externally via a HRL (url )"
"av:Track:2                          av:handler_type:2                   Value:Video Track","Value","Video Track","","","Video track (vide)"
"av:Track:2                          av:content_describes:1             ","Attribute","content_describes","n/a","av","Specifies which track ID this trak is describing (typically for metadata tracks) ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"av:Track:2                          av:meta_format:1                   ","Attribute","meta_format","n/a","av","Specifies the data structure of metadata tracks ","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:Track:2                          av:track_id:1                      ","Attribute","track_id","n/a","av","ID number for this track ","img","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"av:Track:2                          av:track_duration:1                ","Attribute","track_duration","n/a","av","Indicates the time duration of this track in hh:mm:ss format ","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:Track:2                          av:track_duration_seconds:1        ","Attribute","track_duration_seconds","n/a","av","Indicates the time duration of this track in seconds ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"av:Track:2                          av:track_layer:1                   ","Attribute","track_layer","n/a","av","Defines the visual stacking order for different tracks in a video. Tracks with lower numbers (including negative) appear in front of tracks with higher numbers. It can also be used to help distinguish between primary and supplementary tracks. ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"av:Track:2                          av:track_volume:1                  ","Attribute","track_volume","n/a","av","Indicates the loudness or gain adjustment applied to this track, often used to normalize volume levels. A value of 1.0 indicates normal volume. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"av:Video_Track:1                   ","Class","Video_Track","1.0","av","Class describing a Video track","img","","","","","","","","","","",""
"av:Video_Track:2                    av:video_codec:1                   ","Attribute","video_codec","n/a","av","Specifies the video codec (Coder/Decoder) used for this data, in PDS terms. ","img","ASCII_Short_String_Preserved","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:Video_Track:2                    av:video_codec:2                    Value:H.264","Value","H.264","","","Standard H.264 video codec (MPEG-4 part 10)"
"av:Video_Track:2                    av:video_codec:2                    Value:Other","Value","Other","","","Non-PDS-compliant video codec (should not be used except for Product_External)"
"av:Video_Track:2                    av:bit_depth:1                     ","Attribute","bit_depth","n/a","av","Bits per channel of color information ","img","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"av:Video_Track:2                    av:compressor_id:1                 ","Attribute","compressor_id","n/a","av","4-letter code for the compressor used. It may indicate the software rathar than the codec. ","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:Video_Track:2                    av:compressor_name:1               ","Attribute","compressor_name","n/a","av","More descriptive name of the compressor used. This comes directly from the metadata and has not been converted to standard form like video_codec, but may provide additional information. ","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:Video_Track:2                    av:image_height:1                  ","Attribute","image_height","n/a","av","Height of the video image in pixels in its current form ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"av:Video_Track:2                    av:image_width:1                   ","Attribute","image_width","n/a","av","Width of the video image in pixels in its current form ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"av:Video_Track:2                    av:source_image_height:1           ","Attribute","source_image_height","n/a","av","Height of the video image in pixels when it was originally captured ","img","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"av:Video_Track:2                    av:source_image_width:1            ","Attribute","source_image_width","n/a","av","Width of the video image in pixels when it was originally captured ","img","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"av:Video_Track:2                    av:video_frame_rate:1              ","Attribute","video_frame_rate","n/a","av","Number of video frames per second ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","REAL"
"av:Audio_Track:1                   ","Class","Audio_Track","1.0","av","Class describing an Audio track","img","","","","","","","","","","",""
"av:Audio_Track:2                    av:audio_codec:1                   ","Attribute","audio_codec","n/a","av","Specifies the audio codec (Coder/Decoder) used for this data, in PDS terms. ","img","ASCII_Short_String_Preserved","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:Audio_Track:2                    av:audio_codec:2                    Value:AAC","Value","AAC","","","Advanced Audio Coding (AAC) audio codec (MPEG-4 Part 3)"
"av:Audio_Track:2                    av:audio_codec:2                    Value:Other","Value","Other","","","Non-PDS-compliant audio codec (should not be used except for Product_External)"
"av:Audio_Track:2                    av:audio_codec:2                    Value:WAV","Value","WAV","","","Waveform Audio File (WAV) audio codec"
"av:Audio_Track:2                    av:audio_format:1                  ","Attribute","audio_format","n/a","av","Identifies the specific codec or encoding method used to compress and store the audio data. This comes directly form the metadata and has not been converted to standard form like audio_codec, but may provide additional information. ","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:Audio_Track:2                    av:audio_bits_per_sample:1         ","Attribute","audio_bits_per_sample","n/a","av","Number of bits used to represent each audio sample ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"av:Audio_Track:2                    av:audio_channels:1                ","Attribute","audio_channels","n/a","av","Number of independent audio signals, or channels, in the sound track. Usually 1 indicates mono, 2 indicates stereo, 6 indicates 5.1 surround, etc. ","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"av:Audio_Track:2                    av:audio_sample_rate:1             ","Attribute","audio_sample_rate","n/a","av","Frequencey at which the audio is sampled, measured in Hz ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Frequency","none","TBD_classConcept","REAL"
"av:Audio_Track:2                    av:balance:1                       ","Attribute","balance","n/a","av","Specifies left/right audio panning. 0 indicates evenly balanced. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"av:Audio_Track:2                    av:media_language_code:1           ","Attribute","media_language_code","n/a","av","3-letter ISO 639-2/T code identifying the language of a specific media track (e.g. ""eng"" for English, ""fra"" for French). ","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
